play,mean_rewards,mean_food_eaten
1,-0.6560000000000001,0.86
2,-0.5200000000000002,1.2
3,-0.6080000000000001,0.98
4,-0.36,1.6
5,-0.5920000000000002,1.02
6,-0.528,1.18
7,-0.6960000000000002,0.76
8,-0.46400000000000013,1.34
9,-0.7840000000000004,0.54
10,-0.7360000000000002,0.66
11,-0.6960000000000001,0.76
12,-0.6800000000000002,0.8
13,-0.43200000000000005,1.42
14,-0.6640000000000001,0.84
15,-0.696,0.76
16,-0.5040000000000001,1.24
17,-0.11200000000000002,2.22
18,-0.5119999999999999,1.22
19,-0.48,1.3
20,-0.14399999999999993,2.14
21,-0.8640000000000001,0.34
22,-0.664,0.84
23,-0.488,1.28
24,-0.496,1.26
25,-0.7360000000000002,0.66
26,-0.44799999999999995,1.38
27,-0.45599999999999996,1.36
28,-0.8000000000000003,0.5
29,-0.552,1.12
30,-0.296,1.76
31,-0.6800000000000002,0.8
32,-0.56,1.1
33,-0.8160000000000003,0.46
34,-0.5920000000000001,1.02
35,-0.8000000000000003,0.5
36,-0.488,1.28
37,-0.41600000000000004,1.46
38,-0.3679999999999998,1.58
39,-0.4159999999999998,1.46
40,-0.528,1.18
41,-0.39199999999999996,1.52
42,-0.7280000000000002,0.68
43,-0.6560000000000001,0.86
44,-0.6,1.0
45,-0.6479999999999998,0.88
46,-0.6480000000000001,0.88
47,-0.43199999999999994,1.42
48,-0.46399999999999997,1.34
49,-0.29599999999999993,1.76
50,-0.6560000000000001,0.86
51,-0.23999999999999985,1.9
52,-0.6320000000000001,0.92
53,-0.6800000000000003,0.8
54,-0.21599999999999986,1.96
55,-0.552,1.12
56,-0.392,1.52
57,-0.13599999999999998,2.16
58,-0.5760000000000001,1.06
59,-0.13599999999999995,2.16
60,-0.08799999999999997,2.28
61,0.0,2.5
62,0.22400000000000006,3.06
63,-0.19199999999999992,2.02
64,-0.21599999999999994,1.96
65,0.24000000000000007,3.1
66,-0.4800000000000001,1.32
67,-0.6560000000000001,0.88
68,-0.3920000000000001,1.52
69,-0.7200000000000004,0.7
70,0.031999999999999994,2.58
71,0.016,2.54
72,0.176,2.94
73,-0.6240000000000001,0.94
74,-0.15999999999999998,2.1
75,-0.4,1.5
76,-0.19199999999999995,2.02
77,0.56,3.9
78,1.632,6.48
79,0.2800000000000001,3.2
80,0.6079999999999999,4.02
81,-0.00800000000000003,2.48
82,-0.2639999999999999,1.84
83,-0.04799999999999989,2.38
84,-0.01599999999999999,2.46
85,-0.44,1.4
86,-0.504,1.24
87,-0.20799999999999993,1.98
88,0.5359999999999999,3.84
89,-0.19999999999999996,2.0
90,-0.152,2.12
91,0.17600000000000007,2.94
92,-0.11199999999999997,2.22
93,0.304,3.26
94,0.08400000000000006,2.66
95,0.21599999999999997,3.04
96,1.5000000000000002,6.1
97,1.3799999999999997,5.9
98,0.5919999999999997,3.98
99,-0.5200000000000001,1.2
100,0.9999999999999999,5.0
101,1.2040000000000002,5.46
102,0.41200000000000014,3.48
103,0.8919999999999999,4.68
104,-0.03999999999999998,2.4
105,0.6559999999999999,4.14
106,1.196,5.44
107,0.4799999999999999,3.7
108,1.4439999999999997,6.06
109,0.23200000000000004,3.08
110,0.23199999999999993,3.08
111,0.12000000000000004,2.8
112,1.3159999999999996,5.74
113,2.536000000000001,8.64
114,2.08,7.4
115,1.3559999999999999,5.74
116,1.1199999999999997,5.3
117,1.02,5.0
118,0.5039999999999998,3.66
119,0.5320000000000001,3.8
120,0.632,4.08
121,0.7159999999999997,4.24
122,0.8959999999999998,4.74
123,1.4040000000000001,5.86
124,1.2959999999999996,5.74
125,1.3359999999999994,5.74
126,0.72,4.3
127,0.26400000000000007,3.16
128,1.808,6.82
129,1.8440000000000003,7.08
130,1.9520000000000008,7.28
131,1.2360000000000002,5.44
132,1.676,6.64
133,1.5760000000000005,6.34
134,0.5440000000000002,3.86
135,0.3440000000000001,3.36
136,1.8119999999999998,6.9
137,1.8159999999999998,6.94
138,2.636,8.86
139,1.3559999999999999,5.74
140,1.48,6.0
141,0.6319999999999999,4.08
142,1.236,5.56
143,2.168,7.72
144,1.7760000000000002,6.84
145,2.0480000000000005,7.44
146,2.28,8.0
147,2.084,7.56
148,0.8599999999999999,4.6
149,0.7079999999999999,4.22
150,1.8159999999999998,6.84
151,1.4520000000000004,5.98
152,2.088,7.44
153,2.112,7.5
154,2.1799999999999997,7.8
155,1.548,6.32
156,1.6320000000000001,6.38
157,2.12,7.6
158,2.1519999999999997,7.58
159,2.6359999999999997,8.78
160,3.1,9.72
161,2.0839999999999996,7.46
162,2.796,8.96
163,2.8440000000000007,9.46
164,1.412,5.98
165,1.3519999999999999,5.88
166,1.916,7.14
167,1.6519999999999997,6.5
168,0.9319999999999999,4.78
169,1.416,5.94
170,1.4360000000000002,5.84
171,3.103999999999999,9.66
172,1.096,5.24
173,1.7840000000000003,6.86
174,2.688,8.92
175,2.1040000000000005,7.56
176,1.4600000000000006,6.1
177,2.1680000000000006,7.72
178,1.4759999999999998,6.14
179,1.5239999999999998,6.26
180,2.74,9.02
181,2.6959999999999993,8.98
182,2.012,7.48
183,2.8279999999999994,9.24
184,0.916,4.76
185,1.328,5.72
186,0.7119999999999999,4.18
187,2.5199999999999996,8.7
188,3.2960000000000003,10.34
189,2.7840000000000003,9.16
190,1.6759999999999997,6.54
191,1.8199999999999994,6.8
192,1.5839999999999999,6.36
193,2.508,8.42
194,2.088,7.42
195,2.4959999999999996,8.44
196,2.3320000000000003,8.1
197,0.504,3.78
198,0.8439999999999999,4.46
199,1.604,6.26
200,1.7599999999999998,6.8
201,1.912,7.18
202,1.4439999999999995,6.06
203,2.6919999999999997,8.82
204,3.3600000000000008,10.5
205,2.912,9.18
206,3.1839999999999997,9.88
207,1.4120000000000001,5.9
208,1.944,7.16
209,1.4,5.8
210,1.584,6.46
211,1.4239999999999997,5.96
212,0.3679999999999999,3.42
213,2.044,7.36
214,1.696,6.54
215,0.6999999999999998,4.22
216,2.192,7.68
217,2.8840000000000003,9.28
218,1.5639999999999994,6.26
219,2.507999999999999,8.32
220,1.1560000000000001,5.24
221,1.6759999999999997,6.54
222,2.1359999999999997,7.64
223,2.324,8.16
224,1.4000000000000004,5.9
225,0.9880000000000002,4.92
226,1.5719999999999998,6.38
227,2.224,7.76
228,2.8840000000000003,9.32
229,1.8880000000000001,7.04
230,2.2159999999999997,7.84
231,0.7599999999999999,4.4
232,1.5439999999999996,6.26
233,3.055999999999999,9.56
234,1.7759999999999994,6.74
235,1.8520000000000008,6.98
236,2.1680000000000006,7.74
237,2.5840000000000005,8.76
238,2.084000000000001,7.56
239,1.4160000000000001,5.94
240,3.1759999999999997,9.94
241,2.012,7.48
242,2.26,7.8
243,2.364,8.06
244,2.7079999999999997,8.72
245,-0.6480000000000001,0.88
246,0.49200000000000005,3.68
247,2.2,7.6
248,1.9240000000000002,7.16
249,2.2159999999999997,7.86
250,1.3479999999999999,5.82
251,2.14,7.7
252,2.660000000000001,8.8
253,2.596,8.54
254,3.2,10.1
255,2.4,8.1
256,0.048000000000000084,2.62
257,1.0240000000000002,5.06
258,0.7120000000000001,4.28
259,1.192,5.4
260,1.34,5.82
261,1.6600000000000004,6.6
262,1.88,7.0
263,2.8280000000000007,9.22
264,2.9159999999999995,9.24
265,1.9879999999999998,7.32
266,1.8079999999999998,6.92
267,1.984,7.46
268,1.848,7.02
269,1.6119999999999999,6.38
270,2.5920000000000005,8.78
271,2.9559999999999995,9.36
272,2.944,9.56
273,2.6520000000000006,8.38
274,2.796,9.24
275,-0.3679999999999999,1.58
276,1.1320000000000001,5.3
277,1.5440000000000003,6.28
278,2.2479999999999993,7.82
279,1.9639999999999997,7.26
280,3.284,10.16
281,1.28,5.7
282,2.3079999999999994,8.12
283,1.736,6.74
284,1.9639999999999997,7.26
285,1.696,6.54
286,2.612,8.68
287,2.2560000000000007,7.74
288,2.3920000000000003,8.28
289,2.116000000000001,7.64
290,2.5599999999999996,8.7
291,2.4599999999999995,8.1
292,1.764,6.86
293,2.2279999999999998,7.72
294,2.4720000000000004,8.38
295,3.292,9.98
296,2.3040000000000007,7.96
297,3.095999999999999,9.96
298,1.9120000000000008,7.08
299,1.9880000000000004,7.42
300,2.196,7.74
