play,mean_rewards,mean_food_eaten
1,-0.8480000000000001,0.38
2,-0.6400000000000001,0.9
3,-0.8880000000000001,0.28
4,-0.5840000000000001,1.04
5,-0.4639999999999999,1.34
6,-0.6480000000000001,0.88
7,-0.4800000000000001,1.3
8,-0.37599999999999995,1.56
9,-0.007999999999999957,2.5
10,-0.39199999999999996,1.52
11,-0.23999999999999982,1.9
12,-0.176,2.06
13,0.20800000000000005,3.02
14,-0.33599999999999985,1.66
15,0.136,2.84
16,0.7279999999999999,4.32
17,-0.24799999999999983,1.88
18,0.007999999999999997,2.52
19,-0.5360000000000001,1.16
20,-0.21599999999999997,1.96
21,0.32800000000000007,3.32
22,-0.16799999999999998,2.1
23,-0.007999999999999957,2.48
24,-0.14399999999999996,2.16
25,-0.31199999999999983,1.72
26,0.29600000000000004,3.24
27,0.32800000000000007,3.32
28,0.152,2.88
29,-0.09599999999999995,2.26
30,-0.1279999999999999,2.18
31,0.136,2.84
32,-0.07199999999999995,2.32
33,0.6919999999999998,4.18
34,-0.22399999999999995,1.94
35,-0.17599999999999993,2.06
36,1.3322676295501878e-17,2.5
37,0.05599999999999999,2.64
38,0.19200000000000003,2.98
39,0.768,4.42
40,0.16000000000000006,2.9
41,0.4000000000000002,3.5
42,0.45600000000000007,3.64
43,0.4639999999999999,3.68
44,-0.04799999999999996,2.38
45,0.424,3.56
46,1.148,5.32
47,0.5280000000000001,3.82
48,0.436,3.54
49,0.6679999999999999,4.12
50,0.3839999999999999,3.46
51,0.2160000000000001,3.04
52,0.152,2.9
53,0.5760000000000001,3.94
54,0.8480000000000003,4.62
55,0.9359999999999999,4.84
56,1.4920000000000002,6.18
57,1.9080000000000001,7.22
58,0.4800000000000001,3.6
59,1.0559999999999998,5.14
60,0.8239999999999997,4.56
61,0.792,4.48
62,-0.08799999999999997,2.28
63,0.28800000000000003,3.12
64,1.444,5.96
65,1.284,5.66
66,0.6799999999999998,4.2
67,0.11199999999999993,2.78
68,0.9399999999999998,4.8
69,0.9519999999999997,4.88
70,0.7480000000000001,4.32
71,0.616,4.04
72,0.912,4.78
73,1.304,5.76
74,0.7880000000000001,4.42
75,1.0959999999999999,5.24
76,1.0400000000000003,5.1
77,1.436,6.04
78,1.2039999999999997,5.46
79,1.308,5.74
80,1.6440000000000001,6.46
81,0.5919999999999999,3.98
82,0.9799999999999999,4.9
83,1.668,6.52
84,0.8519999999999998,4.58
85,2.6200000000000006,8.8
86,1.9039999999999997,7.16
87,1.1239999999999997,5.26
88,1.6440000000000001,6.56
89,1.32,5.7
90,2.484,8.36
91,1.692,6.68
92,1.2960000000000003,5.74
93,1.4479999999999997,6.02
94,1.392,5.88
95,0.47999999999999987,3.7
96,2.192,7.88
97,2.408,8.22
98,1.5759999999999998,6.36
99,2.8759999999999994,9.26
100,1.7399999999999998,6.7
101,2.64,8.9
102,2.392000000000001,8.08
103,2.7239999999999998,8.86
104,1.82,6.9
105,2.1199999999999997,7.5
106,1.416,6.04
107,2.6519999999999992,9.0
108,2.616,8.64
109,3.4359999999999995,10.54
110,3.096,9.84
111,3.279999999999999,10.0
112,2.6879999999999997,9.02
113,3.179999999999999,10.0
114,1.6559999999999997,6.34
115,2.9560000000000004,9.54
116,3.1439999999999997,9.96
117,3.12,9.8
118,1.548,6.22
119,3.9119999999999995,11.28
120,3.2680000000000002,10.12
121,3.48,10.72
122,3.831999999999998,11.58
123,3.224,10.16
124,2.6919999999999997,8.98
125,4.3,12.2
126,3.572,10.98
127,1.6360000000000001,6.44
128,3.3080000000000003,10.12
129,3.556,10.66
130,3.0640000000000005,9.76
131,4.212,12.28
132,3.7279999999999998,11.14
133,3.8760000000000003,11.34
134,3.863999999999999,11.58
135,3.112,9.78
136,3.2399999999999984,10.0
137,4.175999999999999,11.74
138,3.379999999999999,10.2
139,3.588,10.62
140,3.7840000000000003,11.28
141,4.36,12.4
142,2.9360000000000004,9.56
143,3.272,9.98
144,3.8039999999999985,11.46
145,2.6999999999999993,8.8
146,3.7760000000000002,11.24
147,3.2279999999999998,9.72
148,3.8640000000000003,11.26
149,3.636,10.84
150,3.836,11.16
151,3.528,10.64
152,4.228000000000001,11.82
153,3.5240000000000005,10.76
154,4.235999999999999,12.14
155,4.396,12.56
156,4.332000000000001,11.98
157,4.527999999999999,12.72
158,3.452,10.48
159,3.1320000000000006,9.78
160,1.7680000000000005,6.74
161,3.3680000000000003,10.32
162,3.7079999999999997,11.14
163,3.9519999999999986,11.48
164,4.071999999999999,11.88
165,3.7119999999999993,11.18
166,3.7879999999999994,11.12
167,2.7880000000000003,9.02
168,2.436,8.24
169,3.5200000000000005,10.6
170,2.7799999999999994,9.2
171,2.8760000000000003,9.34
172,3.724000000000001,10.86
173,4.28,12.2
174,3.7120000000000006,10.9
175,3.687999999999999,10.82
176,3.380000000000001,10.5
177,2.464,8.46
178,3.4519999999999995,10.58
179,4.02,11.7
180,3.9159999999999986,11.54
181,2.3520000000000008,8.08
182,4.284,12.16
183,4.5840000000000005,12.56
184,4.56,12.7
185,3.6799999999999984,11.0
186,3.0440000000000005,9.58
187,3.816,11.34
188,4.307999999999999,12.42
189,3.867999999999999,11.42
190,3.364,10.36
191,4.012,11.6
192,2.932,9.28
193,3.532,10.38
194,3.8320000000000003,11.18
195,3.6799999999999993,10.9
196,3.5439999999999996,10.66
197,4.06,11.82
198,4.528,12.72
199,4.212,11.98
200,3.2840000000000003,9.86
201,3.9159999999999995,11.44
202,3.747999999999999,11.02
203,4.224,11.86
204,3.5679999999999996,10.74
205,4.007999999999999,11.52
206,4.856,13.24
207,4.3199999999999985,12.4
208,3.355999999999999,10.24
209,2.664,8.78
210,3.4359999999999995,10.64
211,3.6480000000000006,10.82
212,3.88,11.5
213,2.6280000000000006,8.82
214,2.907999999999999,9.32
215,2.888,9.42
216,3.475999999999999,10.76
217,4.012,11.48
218,3.239999999999999,10.2
219,3.855999999999999,11.44
220,4.163999999999999,11.96
221,3.6039999999999996,10.86
222,3.2239999999999998,9.98
223,4.315999999999999,12.44
224,3.2800000000000007,10.2
225,3.4399999999999995,10.7
226,4.047999999999999,11.72
227,3.6599999999999993,11.0
228,3.527999999999999,10.72
229,3.5280000000000014,10.82
230,3.6920000000000006,10.98
231,4.372,12.38
232,3.9680000000000017,11.62
233,3.56,10.7
234,4.0360000000000005,11.54
235,3.5759999999999996,10.94
236,3.9079999999999995,11.42
237,3.2279999999999998,10.02
238,4.092,12.0
239,3.9879999999999995,11.52
240,3.7079999999999997,11.02
241,2.724,8.86
242,3.864,11.26
243,2.764,9.18
244,4.195999999999999,11.94
245,3.267999999999999,10.44
246,4.007999999999999,11.92
247,3.88,11.3
248,4.244,12.36
249,4.016000000000001,11.66
250,4.748,13.04
251,4.1080000000000005,11.82
252,4.4399999999999995,12.3
253,3.2079999999999997,10.04
254,3.944,11.38
255,4.348,12.32
256,3.7119999999999993,11.12
257,3.879999999999999,11.3
258,3.2159999999999997,9.94
259,4.195999999999999,11.84
260,3.987999999999999,11.72
261,3.5599999999999996,10.7
262,3.388,10.52
263,4.127999999999999,11.92
264,3.844,11.26
265,4.1,11.9
266,3.952,11.58
267,3.276,10.14
268,2.5199999999999996,8.4
269,3.583999999999999,10.76
270,4.14,12.0
271,3.151999999999999,9.98
272,3.4240000000000004,10.46
273,2.5039999999999996,8.46
274,2.9959999999999996,9.74
275,3.844,11.36
276,4.4239999999999995,12.66
277,3.751999999999999,11.28
278,4.228000000000001,11.92
279,2.671999999999999,9.08
280,3.2159999999999997,10.14
281,3.9399999999999995,11.4
282,3.795999999999999,11.24
283,4.176,12.04
284,3.612,10.78
285,4.967999999999998,13.52
286,3.8519999999999985,11.38
287,3.276,10.04
288,3.3039999999999985,9.96
289,3.86,11.4
290,3.6120000000000005,10.88
291,2.8320000000000003,9.08
292,3.608,10.82
293,3.443999999999999,10.56
294,3.884,11.46
295,3.312,10.28
296,3.667999999999999,10.92
297,3.6040000000000005,10.78
298,3.616,11.04
299,4.283999999999999,12.18
300,3.623999999999999,10.66
