play,mean_rewards,mean_food_eaten
1,-0.8480000000000003,0.38
2,-0.368,1.6
3,-0.536,1.16
4,-0.5120000000000001,1.24
5,-0.536,1.18
6,-0.7600000000000001,0.6
7,-0.16,2.12
8,-0.6000000000000003,1.0
9,-0.6240000000000001,0.94
10,-0.03199999999999995,2.42
11,0.16000000000000003,2.9
12,-0.544,1.14
13,-0.488,1.28
14,-0.256,1.86
15,-0.4159999999999999,1.46
16,-0.04,2.42
17,0.2800000000000001,3.2
18,0.07200000000000002,2.68
19,-0.31199999999999983,1.72
20,0.13600000000000004,2.84
21,-0.36,1.6
22,-0.023999999999999994,2.44
23,0.055999999999999994,2.64
24,-0.4799999999999999,1.3
25,-0.42400000000000004,1.44
26,0.12800000000000003,2.82
27,0.12799999999999995,2.82
28,-0.4079999999999999,1.48
29,7.327471962526034e-17,2.5
30,-0.04799999999999997,2.38
31,-0.368,1.6
32,-0.1359999999999999,2.16
33,-0.4320000000000001,1.42
34,0.31200000000000006,3.28
35,0.16800000000000004,2.92
36,0.27600000000000013,3.14
37,0.312,3.28
38,0.07999999999999999,2.7
39,0.11999999999999994,2.8
40,0.44800000000000006,3.64
41,1.02,5.0
42,1.544,6.26
43,0.008000000000000016,2.52
44,0.5359999999999999,3.84
45,-0.007999999999999981,2.48
46,-0.15199999999999997,2.12
47,0.6319999999999999,4.08
48,0.07199999999999998,2.68
49,0.08,2.7
50,0.8519999999999999,4.58
51,0.42399999999999993,3.56
52,0.14400000000000002,2.86
53,0.024000000000000004,2.56
54,1.036,5.04
55,0.4799999999999999,3.7
56,1.068,5.12
57,0.4079999999999999,3.52
58,1.2280000000000002,5.52
59,0.7600000000000001,4.4
60,1.416,6.04
61,1.6440000000000001,6.58
62,1.2240000000000002,5.56
63,1.172,5.38
64,1.4680000000000004,6.12
65,0.6879999999999998,4.22
66,0.11200000000000006,2.78
67,0.24800000000000008,3.12
68,0.35200000000000004,3.38
69,0.4399999999999998,3.62
70,0.572,3.88
71,1.504,6.26
72,1.108,5.22
73,1.4959999999999996,6.24
74,1.4040000000000004,5.96
75,0.8440000000000002,4.46
76,1.3359999999999999,5.74
77,1.5760000000000005,6.34
78,1.9560000000000004,7.24
79,0.9479999999999998,4.82
80,-0.2719999999999999,1.82
81,1.4439999999999997,6.06
82,1.2839999999999998,5.56
83,1.8840000000000001,7.08
84,0.8399999999999999,4.6
85,1.4760000000000002,6.14
86,1.4680000000000002,6.12
87,2.0159999999999996,7.44
88,1.1639999999999997,5.36
89,1.908,7.22
90,1.656,6.64
91,1.6480000000000001,6.62
92,1.5079999999999998,6.22
