play,mean_rewards,mean_food_eaten
1,-0.608,0.98
2,-0.536,1.16
3,-0.6480000000000001,0.88
4,-0.456,1.36
5,-0.6320000000000001,0.92
6,-0.552,1.12
7,-0.35999999999999993,1.6
8,-0.11199999999999997,2.22
9,-0.6320000000000002,0.92
10,-0.5760000000000001,1.06
11,-0.21599999999999994,1.96
12,0.008000000000000009,2.52
13,-0.4959999999999999,1.26
14,-0.23999999999999996,1.9
15,-0.12,2.2
16,-0.11999999999999993,2.2
17,0.08800000000000004,2.72
18,-0.19999999999999984,2.0
19,0.09200000000000003,2.68
20,0.05600000000000003,2.64
21,-0.039999999999999994,2.4
22,-0.3039999999999998,1.74
23,-0.3839999999999999,1.54
24,0.10399999999999998,2.76
25,0.21600000000000003,3.04
26,-0.23199999999999982,1.92
27,-0.6000000000000001,1.0
28,-0.176,2.06
29,0.35999999999999993,3.4
30,0.03999999999999999,2.6
31,0.31200000000000006,3.28
32,0.352,3.38
33,-0.192,2.02
34,-0.23199999999999993,1.92
35,0.10400000000000002,2.76
36,0.40800000000000003,3.52
37,0.18400000000000005,2.96
38,-0.192,2.02
39,0.055999999999999994,2.64
40,0.08,2.7
41,0.544,3.86
42,0.09599999999999997,2.74
43,0.32000000000000006,3.3
44,0.30400000000000016,3.28
45,-0.03999999999999995,2.4
46,0.23200000000000007,3.08
47,0.4,3.5
48,0.6160000000000001,3.94
49,0.6960000000000002,4.24
50,0.9919999999999998,4.88
51,0.9,4.7
52,1.5480000000000005,6.32
53,1.1479999999999997,5.32
54,1.392,5.78
55,1.052,5.08
56,0.6240000000000001,4.06
57,0.732,4.28
58,0.688,4.22
59,1.9800000000000002,7.3
60,1.024,5.06
61,1.2599999999999998,5.6
62,0.8759999999999997,4.64
63,1.0599999999999996,5.1
64,0.5839999999999999,3.96
65,1.196,5.44
66,0.22400000000000003,3.08
67,0.648,4.12
68,0.92,4.8
69,1.108,5.22
70,0.7839999999999999,4.46
71,0.9200000000000003,4.8
72,1.3400000000000003,5.7
73,0.8319999999999997,4.58
74,0.4320000000000001,3.58
75,2.324,7.96
76,2.6359999999999997,8.84
77,0.5599999999999998,3.9
78,2.432000000000001,8.3
79,1.0000000000000002,5.0
80,1.564,6.4
81,1.156,5.34
82,2.4599999999999995,8.5
83,1.0879999999999999,5.22
84,0.8999999999999995,4.7
85,0.20800000000000007,2.92
86,1.944,7.16
87,2.083999999999999,7.56
88,1.2959999999999996,5.64
89,2.0479999999999996,7.62
90,1.152,5.28
91,2.1719999999999997,7.68
92,1.6319999999999997,6.38
93,0.9839999999999999,4.96
94,2.84,9.3
95,1.6120000000000005,6.48
96,2.392,8.28
97,1.0880000000000003,5.22
98,1.4159999999999997,5.94
99,2.0520000000000005,7.48
100,0.41600000000000015,3.54
101,1.256,5.64
102,1.224,5.48
103,2.2280000000000006,8.02
104,1.6119999999999999,6.38
105,2.0839999999999996,7.48
106,1.656,6.54
107,1.9519999999999995,7.28
108,2.5840000000000005,8.46
109,1.7239999999999998,6.76
110,2.8240000000000003,9.16
111,2.7840000000000003,9.06
112,2.7760000000000007,9.04
113,3.867999999999999,11.32
114,3.3360000000000003,10.34
115,2.8759999999999994,9.14
116,1.8200000000000003,6.9
117,3.115999999999999,9.84
118,1.916,7.04
119,2.8840000000000003,9.28
120,2.4599999999999995,8.4
121,3.8599999999999994,11.4
122,1.648,6.62
123,3.552,10.68
124,3.287999999999999,10.32
125,2.7520000000000007,8.98
